"id","fk_lijsten_parent","naam","bron","zie_naam","is_alias","app_state"
"1",NULL,"soort object",NULL,NULL,NULL,"1"
"2",NULL,"type titel",NULL,NULL,NULL,"1"
"3",NULL,"type vervaardiging",NULL,NULL,NULL,"1"
"4",NULL,"plaats",NULL,NULL,NULL,"1"
"5",NULL,"techniek",NULL,NULL,NULL,"1"
"6",NULL,"materiaal",NULL,NULL,NULL,"1"
"7",NULL,"eenheden dimensies",NULL,NULL,NULL,"1"
"8",NULL,"fysieke staat",NULL,NULL,NULL,"1"
"9",NULL,"uiterlijke staat",NULL,NULL,NULL,"1"
"10",NULL,"soort instelling",NULL,NULL,NULL,"1"
"11",NULL,"onderscheiding",,NULL,NULL,"1"
"12",NULL,"soort doos",NULL,NULL,NULL,"1"
"25","3","druk",NULL,NULL,NULL,"1"
"27","3","ontwerp",,,NULL,"1"
"35","2","afgelezen",,,NULL,"1"
"53","7","mm",,,NULL,"1"
"54","7","cm",,,NULL,"1"
"65","10","drukkerij",,,NULL,"1"
"80",NULL,"soort publicatie",,,NULL,"1"
"81","80","boek",,,NULL,"1"
"83","80","speciale uitgave",,,NULL,"1"
"84","3","mede-vervaardiging",,,NULL,"1"
"85","3","uitgave",,,NULL,"1"
"86","10","uitgeverij",,,NULL,"1"
"87","1","brochure",NULL,NULL,NULL,"1"
"88","1","origineel",,,NULL,"1"
"89","1","briefpapier en enveloppen",NULL,NULL,NULL,"1"
"90","1","logo",NULL,NULL,NULL,"1"
"91","1","advertentie",NULL,NULL,NULL,"1"
"92","1","productverpakking",NULL,NULL,NULL,"1"
"93","1","omslag",NULL,NULL,NULL,"1"
"94","1","krant",NULL,NULL,NULL,"1"
"95","1","zegel",NULL,NULL,NULL,"1"
"96","1","huisorgaan",NULL,NULL,NULL,"1"
"97","1","affiche",NULL,NULL,NULL,"1"
"98","1","catalogus",NULL,NULL,NULL,"1"
"99","1","boek",NULL,NULL,NULL,"1"
"100","1","agenda",NULL,NULL,NULL,"1"
"101","1","folder",NULL,NULL,NULL,"1"
"102","1","programma",NULL,NULL,NULL,"1"
"103","1","entreebewijs",NULL,NULL,NULL,"1"
"104","1","kaart",NULL,NULL,NULL,"1"
"105","1","uitnodiging",NULL,NULL,NULL,"1"
"106","1","rapport",NULL,NULL,NULL,"1"
"107","1","huisstijlprogramma",NULL,NULL,NULL,"1"
"108","1","prospectus",NULL,NULL,NULL,"1"
"109","1","tijdschrift",NULL,NULL,NULL,"1"
"110","1","etiket",NULL,NULL,NULL,"1"
"111","1","wenskaart",NULL,NULL,NULL,"1"
"112","1","jaarverslag",NULL,NULL,NULL,"1"
"113","1","platenhoes",NULL,NULL,NULL,"1"
"114","1","eerste-daguitgave",NULL,NULL,NULL,"1"
"115","1","briefkaart",NULL,NULL,NULL,"1"
"116","1","postzegel",NULL,NULL,NULL,"1"
"118","1","map",NULL,NULL,NULL,"1"
"119","1","vlag",NULL,NULL,NULL,"1"
"120","1","display",NULL,NULL,NULL,"1"
"121","1","handleiding",NULL,NULL,NULL,"1"
"122","1","illustratie",NULL,NULL,NULL,"1"
"123","1","formulier",NULL,NULL,NULL,"1"
"124","1","geboortekaart",NULL,NULL,NULL,"1"
"125","1","ticket",NULL,NULL,NULL,"1"
"126","1","belettering",NULL,NULL,NULL,"1"
"127","1","gedenkboek",NULL,NULL,NULL,"1"
"128","1","product",NULL,NULL,NULL,"1"
"129","1","certificaat",NULL,NULL,NULL,"1"
"130","1","kalender",NULL,NULL,NULL,"1"
"131","6","papier",NULL,NULL,NULL,"1"
"132","5","offset",NULL,NULL,NULL,"1"
"133","5","geniet",NULL,NULL,NULL,"1"
"134","9","matig",,,NULL,"1"
"135","9","goed",,,NULL,"1"
"136","6","karton",NULL,NULL,NULL,"1"
"137","6","fotografisch materiaal",,,NULL,"1"
"138","5","inkttekening",,,NULL,"1"
"139","5","pentekening",,,NULL,"1"
"140","5","potloodtekening",,,NULL,"1"
"141","5","zeefdruk",NULL,NULL,NULL,"1"
"145","5","hoogdruk",NULL,NULL,NULL,"1"
"147","5","geschilderd",,,NULL,"1"
"148","6","plastic",NULL,NULL,NULL,"1"
"150","5","fotokopie",NULL,NULL,NULL,"1"
"151","6","calqueerpapier",,,NULL,"1"
"153","5","diepdruk",NULL,NULL,NULL,"1"
"155","5","foto",,"fotografie","1","1"
"156","5","gevouwen",NULL,NULL,NULL,"1"
"157","9","slecht",,,NULL,"1"
"158","5","genaaid",NULL,NULL,NULL,"1"
"159","5","metalen spiraal",NULL,NULL,NULL,"1"
"160","5","gelijmd",NULL,NULL,NULL,"1"
"161","5","gebonden in linnen band",NULL,NULL,NULL,"1"
"162","5","boekdruk",NULL,NULL,NULL,"1"
"163","5","losbladig",NULL,NULL,NULL,"1"
"164","5","spiraal",NULL,NULL,NULL,"1"
"165","5","gebonden",NULL,NULL,NULL,"1"
"167","6","textielmateriaal",,,NULL,"1"
"168","5","gelijmd in omslag",NULL,NULL,NULL,"1"
"172","5","blinddruk",NULL,NULL,NULL,"1"
"173","5","genaaid in linnen band",NULL,NULL,NULL,"1"
"174","5","gelijmd in papieren band",NULL,NULL,NULL,"1"
"175","5","fotografie",NULL,NULL,NULL,"1"
"176","9","onbekend",NULL,NULL,NULL,"1"
"177","6","glas",NULL,NULL,NULL,"1"
"179","9","gerestaureerd",,,NULL,"1"
"180","6","metaal",NULL,NULL,NULL,"1"
"181","1","trouwkaart",NULL,NULL,NULL,"1"
"182","1","label",NULL,NULL,NULL,"1"
"183","5","digitale print",,,NULL,"1"
"184","5","gebrocheerd in gelijmd omslag",NULL,NULL,NULL,"1"
"185","5","genaaid in kartonnen band",NULL,NULL,NULL,"1"
"186","5","genaaid in papieren band",NULL,NULL,NULL,"1"
"187","5","spiraalband",NULL,NULL,NULL,"1"
