"id","geboorteplaats","overlijdensplaats","soort_instelling","naam","voornamen","roepnaam","geboortedatum","overlijdensdatum","biografie","is_persoon","toon_op_site","rechtenvrij","tussenvoegsels","unique_number","reference","app_state","datum_gewijzigd","gewijzigd_door"
"1","289","288",NULL,"Schrofer","Jurriaan",,"1926-00-00","1990-00-00","<p></p><p>Grafisch vormgever, beeldend kunstenaar en typograaf Jurriaan Schrofer was de zoon van Willem Schrofer, één van de eerste abstracte schilders in Nederland. Na de scheiding van zijn ouders neemt zijn moeder hem mee naar Bilthoven waar ze hem naar de Kees Boeke Werkplaats stuurt, een anti-autoritaire, op het individu gerichte, alternatieve basisschool. Onder de extreem principiële leider van het internaat neemt Schrofer zich heilig voor dat hij zich nog maar door één principe laat leiden: geen principes hebben. Wel leert Jurriaan hier de liefde voor drukken en typografie kennen.</p><p>In eerste instantie wil Schrofer filmregisseur worden. Hij heeft er zeker het talent voor: Ed van der Elsken zou later zeggen dat Schrofers grootste makke was, dat hij deze ambitie niet doorgezet heeft. Maar eind jaren veertig ontmoet Schrofer Dick Elffers en werkt hij enige tijd als zijn assistent. <br /></p><p>In 1952 treedt Schrofer in dienst bij drukkerij Meijer, waar hij zich volledig verdiept in de Monotype-zetmachine, een ervaring die de basis vormt voor zijn verdere werk. Na Meijer begint Schrofer voor zichzelf, tot hij zich in 1974 als partner/directeur aansluit bij Total Design. Schrofer heeft als docent aan verschillende kunstacademies gewerkt en bekleedde daarnaast talloze bestuursfuncties.</p><p>Als niet-tekenaar richt Schrofer zich op mathematische vormen. Hij heeft een grote drang naar ordenen en het maken van series, maar is tegelijkertijd absoluut niet bang voor het spontane. Het stramien is belangrijk, maar wordt nooit een keurslijf. ‘Het moet zijn als ademhalen’ zegt Schrofer hier zelf over, ‘een organisch ritme waarmee je zowel kunt fluisteren als kunt schreeuwen.’</p><p>Schrofers werk verraadt een grote voorliefde voor typografie. Zijn hele leven heeft hij gezocht naar de grens tussen vorm en functionaliteit van lettertekens. Hij schrok er niet voor terug om het ritme en de visuele relatie tussen de karakters ten koste te laten gaan van de leesbaarheid. Woorden worden onder zijn handen autonome objecten. Aan het einde van zijn carrière voegt Schrofer zelfs nog een derde dimensie aan de lettertekens toe, door zijn letters half uit te snijden waardoor ook licht en schaduw een rol gaan spelen.</p><p><br />BESTUURSFUNCTIES<br />GKF (Vakgroep Grafici); <br />GVN (Grafische Vormgevers Nederland); <br />Raad van de Kunst, afdeling Beeldende kunst en Bouwkunst; <br />Experimenten commissie RvdK; <br />Beleidscommissie Bevordering Beeldende Kunsten van de RvdK (later POBK); <br />Federatie van Kunstenaarsverenigingen; <br />Provinciale Kunstcommissie Percentageregeling Gelderland; <br />Stichting Praktijkburo Beeldende Kunst opdrachten; <br />Stichting Post-Kunstvakonderwijs; <br />Stichting Amsterdams Fonds voor de Kunst; <br />Stichting materiaalfonds voor Beeldende Kunst.<br /></p><p></p>","1","1","1",,,,"1","2008-01-22","Britt Grootes"
"2",NULL,NULL,"86","Proost &amp; Brandt NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2004-10-16","Karin"
"3",NULL,NULL,NULL,"Windig","Ad",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"4",NULL,NULL,NULL,"Laboratorium Proost &amp; Brandt",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"5",NULL,NULL,"65","Verenigde Drukkerijen Planeta",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"6",NULL,NULL,NULL,"Elsken","Ed",NULL,NULL,NULL,NULL,"1",NULL,"1","van der",NULL,NULL,"1",NULL,NULL
"7",NULL,NULL,"65","Semper Avanti NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-06","Trudi"
"8",NULL,NULL,"86","Uitgeverij Bert Bakker",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"9",NULL,NULL,"65","H. Veenman &amp; Zonen NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-07","Suzanne"
"10",NULL,NULL,"65","Drukkerij de Dageraad",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"12",NULL,NULL,"65","Joh. Enschedé &amp; Zn.",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"13",NULL,NULL,NULL,"Olof","Theo",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"14",NULL,NULL,NULL,"Lehning","Arthur",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"15",NULL,NULL,"65","Meijer NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-07","Suzanne"
"16",NULL,NULL,"65","Boom - Ruygrok NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2005-04-26","Karin"
"17",NULL,NULL,NULL,"Os","Hans",NULL,NULL,NULL,NULL,"1",NULL,"1","van",NULL,NULL,"1",NULL,NULL
"18",NULL,NULL,"65","Van Markens Drukkerij NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2004-10-16","Karin"
"19",NULL,NULL,"65","Iris pers NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-06","Suzanne"
"20",NULL,NULL,NULL,"Rutting","Lotte",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"21",NULL,NULL,"86","Van Dorpen &amp; co.",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"22",NULL,NULL,NULL,"Cornelius","Violette",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"24",NULL,NULL,"327","Koninklijke Nederlandse Hoogovens en Staalfabrieken NV",,NULL,NULL,NULL,,NULL,NULL,"1",,,,"1","2007-01-15","KvdH"
"25",NULL,NULL,NULL,"Alberts","Bob",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"26",NULL,NULL,"65","Wrsch. Laporte &amp; Dosse",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"27",NULL,NULL,NULL,"Huf","Paul",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"28",NULL,NULL,NULL,"Kando","Ata",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"29","385","288",NULL,"Oorthuys","Cas",,"1908-00-00","1975-00-00",,"1",NULL,"1",,NULL,NULL,"1","2006-02-14","KvdH"
"30",NULL,NULL,"65","Drukkerij Trio NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-06","Suzanne"
"31",NULL,NULL,NULL,"Mechanicus","Philip",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"32",NULL,NULL,NULL,"Wessing","Koen",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"33",NULL,NULL,NULL,"Tritschler","Wolff U.",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"34",NULL,NULL,NULL,"Jonker","Henk",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"35",NULL,NULL,NULL,"Suister","Ed",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"36",NULL,NULL,"65","Steendrukkerij De Jong &amp; Co.",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-02-07","KvdH"
"38",NULL,NULL,"65","Drukkerij Dijkman NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-07","Suzanne"
"39",NULL,NULL,NULL,"Nijs","Joop",NULL,NULL,NULL,NULL,"1",NULL,"1"," de",NULL,NULL,"1",NULL,NULL
"41",NULL,NULL,"65","Van Leer BV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2005-09-06","Suzanne"
"42",NULL,NULL,"65","Koninklijke Grafische Kunstinrichting J. van Poll Suykerbuyk NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-06","Suzanne"
"43",NULL,NULL,"65","Offset Danel",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"45",NULL,NULL,"65","Peco",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2005-10-03","Karin"
"46",NULL,NULL,NULL,"Jesse","Nico",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"47",NULL,NULL,"65","Gemeentedrukkerij Rotterdam",,NULL,NULL,NULL,NULL,NULL,NULL,"1",,NULL,NULL,"1",NULL,NULL
"48",NULL,NULL,NULL,"Nieuwenhuijzen","Kees",NULL,NULL,NULL,NULL,"1",NULL,"1",,NULL,NULL,"1",NULL,NULL
"49",NULL,NULL,"65","Kampert &amp; Helm NV",,NULL,NULL,NULL,,NULL,NULL,"1",,NULL,NULL,"1","2006-09-06","Suzanne"
