"id","fk_lijsten_soort_publicatie","fk_lijsten_plaatsen","naam","verschenen_in","jaargang","aflevering","jaar","pagina_aantal","opmerking","ISBN","ISSN","app_state","uitgeversnaam","datum_gewijzigd","gewijzigd_door"
"3","81","288","'40'80 typografisch Nederland",,,,"1984","64","Overzicht van de jaarlijks verschenen kerstnummers van het Drukkersweekblad",,,"1","Gerrit Jan Thiemefonds","2005-05-02","Karin"
"4","81","294","Design: Total Design",,,,"1985","96","ontwerp: Reynoud Homan; Frans Lieshout; Jelle van der Toorn Vrijthoff, Total Design",,,"1","Reflex","2005-06-09","Trudi"
"6","81","349","Grafische Vormgeving in Nederland. Een eeuw",,,,"1993","229","3de druk 1999","90 6113 902 3",,"1","Atrium","2005-05-23","Karin"
"8","81","350","Otto Treumann, grafisch ontwerper",,,,"1970",,,,,"1",,"2005-05-23","Karin"
"9","81","352","Ontwerp: Total Design : de jaren tachtig",,,,"1989",,,,,"1","Inmerc","2005-06-09","Trudi"
"10","81","294","Ontwerp: Total Design",,,,"1983",,,,,"1","Reflex","2005-06-09","Trudi"
"11","324","353","Total Design","Graphis : international journal of graphic art and applied art","45","263 (sep)","1989","1",,,,"1",,"2005-06-09","Trudi"
"12","81","354","Kerstnummer Grafisch Nederland 1988",,,,"1988",,,,,"1","Koninklijk Verbond van Grafische Ondernemingen KVGO","2009-03-04","Linda Kool"
"13","324","353","40 jaar Total Design","PrePress","14","3","2003","3",,,,"1",,"2005-06-09","Trudi"
"14","324","353","Total Design : a Dutch design and consultant group","Graphis : international journal of graphic art and applied art","38","220","1982","1",,,,"1",,"2005-06-09","Trudi"
"15","81","288","Jolijn van de Wouw",,,,"2002",,,,,"1","BIS publishers","2005-06-09","Trudi"
"16","81","288","Ben Bos: design of a lifetime",,,,"2000",,,,,"1","BIS publishers","2005-10-11","Karin"
"17","81","293","Benno Wissing : grafische en ruimtelijke ontwerpen",,,,"1999",,,,,"1","Nai publishers","2005-06-09","Trudi"
"18","81","293","Wim Crouwel : mode en module",,,,"1997",,,,,"1","010 publishers","2005-06-09","Trudi"
"19","81","288","Benno Wissing",,,,"1993",,,,,"1","Beroepsvereniging Nederlandse Ontwerpers BNO","2005-06-09","Trudi"
"20","83","288","Zienderogen",,,,"1988","48","Speciale uitgave van het G.J. Thiemefonds","9070896060",,"1",,"2005-07-19","Karin"
"23","81","288","A history of the Dutch poster 1890-1960",,,,"1968",,"Introduction door H.L.C. Jaffé",,,"1","Scheltema &amp; Holkema","2005-10-10","Suzanne"
"24","81","288","Dutch posters 1960-1996 a selection by Anthon Beeke",,,,"1997",,"Introduction door Paul Hefting",,,"1","Bis Publishers","2005-10-10","Suzanne"
"25","324","293","Publikatie Automobile Citroën N.V. Amsterdam","Compres","17 (1992)","25 november","1992",,,,,"1",,"2005-10-10","Suzanne"
"26","81","293","100 Citroën-advertenties van Karel Suyling",,,,"1992",,"Voorwoord door Jurriaan Schrofer en inleiding door Frederique Huygen",,,"1",,"2005-10-10","Suzanne"
