"fk_archief","rol","fk_persoon_instelling"
"1","1","1"
"1","2","5862"
"2","1","456"
"2","2","734"
"3","1","556"
"3","2","734"
"4","1","681"
"6","1","1499"
"6","2","5328"
"7","1","511"
"7","2","1830"
"9","1","2199"
"9","2","3185"
"10","1","2280"
"10","2","734"
"12","1","1627"
"12","2","4362"
"12","2","4924"
"13","1","2337"
"13","2","734"
"15","1","2479"
"15","1","2920"
"17","1","158"
"17","2","475"
"19","1","1725"
"19","1","1726"
"19","1","1769"
"19","1","1770"
"19","1","2983"
"19","1","3194"
"19","2","3435"
"20","1","151"
"20","2","475"
"21","1","1630"
"21","2","365"
"22","1","2463"
"22","2","4362"
"23","1","1854"
"23","2","5862"
"24","1","3914"
"24","2","4361"
"25","1","4936"
"27","1","1700"
"27","1","3898"
"27","2","4361"
"28","1","1630"
"28","2","734"
"33","1","5882"
"33","2","2476"
"37","1","2446"
"37","2","5328"
"38","1","1629"
"38","1","1826"
"38","1","5794"
"38","1","5886"
"38","2","734"
"38","2","5328"
"38","2","5862"
"41","1","5755"
