"fk_rubriek1","fk_rubriek2"
"143","2542"
"147","2795"
"173","2507"
"198","2591"
"205","2756"
"206","2164"
"318","2664"
"410","2539"
"424","2539"
"433","2539"
"561","1648"
"561","2509"
"575","2500"
"631","2521"
"667","2718"
"681","2497"
"686","1909"
"686","2791"
"698","2695"
"700","2609"
"704","2546"
"705","2546"
"901","2539"
"930","2723"
"960","2509"
"1082","2122"
"1113","1095"
"1115","1144"
"1142","1655"
"1160","2539"
"1204","2500"
"1205","2164"
"1394","1800"
"1418","2497"
"1566","2517"
"1575","2594"
"1576","2497"
"1579","2537"
"1581","2931"
"1584","2788"
"1590","2602"
"1591","2621"
"1592","2718"
"1595","2551"
"1599","2832"
"1600","2503"
"1602","1916"
"1602","2712"
"1603","2535"
"1605","2525"
"1609","2539"
"1610","2930"
"1613","1614"
"1615","1909"
"1615","2791"
"1616","2791"
"1624","2578"
"1624","3507"
"1626","2639"
"1633","1918"
"1637","1907"
"1640","2934"
"1642","2612"
"1644","2596"
"1647","2665"
"1648","567"
"1648","960"
"1648","2509"
"1655","1074"
"1655","2544"
"1655","3305"
"1655","3375"
"1708","2326"
"1720","1874"
"1721","1783"
"1721","2503"
"1722","1791"
"1722","2503"
"1737","2514"
"1757","1822"
"1761","2514"
"1763","2756"
"1772","1791"
"1782","1791"
"1783","2547"
"1785","1773"
"1809","1798"
"1809","1826"
"1809","1829"
"1826","1798"
"1826","1829"
"1829","1798"
"1831","2546"
"1837","2584"
"1838","2501"
"1839","2646"
"1842","2582"
"1843","1842"
"1843","2582"
"1845","1841"
"1871","2722"
"1904","1589"
"1905","1576"
"1905","2497"
"1908","1616"
"1908","2791"
"1909","2791"
"1914","1640"
"1914","2934"
"1916","2712"
"1917","1642"
"1917","2612"
"1922","606"
"1922","2596"
"1925","2674"
"1927","606"
"1927","1923"
"1929","2523"
"1932","2756"
"1935","2596"
"1936","2602"
"1940","2547"
"1941","2710"
"1942","2938"
"1943","1944"
"1950","2933"
"1999","2008"
"2000","2007"
"2015","2737"
"2061","2162"
"2073","3319"
"2080","2476"
"2098","2349"
"2098","2351"
"2153","2350"
"2155","2152"
"2195","2196"
"2195","2198"
"2196","2198"
"2217","2305"
"2219","2201"
"2223","2387"
"2233","2268"
"2240","2245"
"2259","2257"
"2268","2271"
"2273","2243"
"2276","2278"
"2279","2362"
"2288","2301"
"2306","2162"
"2319","2320"
"2321","2500"
"2328","2201"
"2330","2162"
"2340","2509"
"2349","2351"
"2358","2264"
"2359","2362"
"2361","2264"
"2365","2411"
"2366","2279"
"2366","2359"
"2366","2362"
"2373","2372"
"2373","2377"
"2377","2372"
"2379","2174"
"2382","2164"
"2383","2414"
"2388","2121"
"2389","2182"
"2395","2254"
"2398","2404"
"2408","2166"
"2410","2098"
"2410","2351"
"2412","2248"
"2418","2433"
"2422","2154"
"2438","2435"
"2469","2153"
"2471","2099"
"2472","2098"
"2472","2349"
"2472","2351"
"2473","2089"
"2474","2350"
"2475","2372"
"2477","2752"
"2494","2664"
"2503","623"
"2503","1349"
"2503","2548"
"2509","567"
"2509","3327"
"2516","2578"
"2536","608"
"2544","3305"
"2544","3375"
"2544","3509"
"2545","2756"
"2547","1349"
"2548","623"
"2548","1349"
"2549","618"
"2550","3508"
"2558","2819"
"2558","2824"
"2578","3507"
"2593","2591"
"2597","2590"
"2603","702"
"2626","3318"
"2659","618"
"2692","3347"
"2703","567"
"2703","619"
"2703","2509"
"2703","2539"
"2703","2756"
"2716","2793"
"2734","2733"
"2743","2756"
"2753","3510"
"2756","619"
"2756","2497"
"2756","2548"
"2788","571"
"2819","2824"
"2823","2646"
"2835","571"
"2963","3327"
"2965","702"
"3208","3264"
"3251","3492"
"3283","3346"
"3286","3322"
"3295","3600"
"3327","3251"
"3327","3492"
"3375","3305"
"3437","3428"
"3437","3455"
"3482","3486"
