"id","fk_lijsten","fk_object","fk_persoon_instelling","ranking","is_ontwerp"
"1809","27","1024","1",NULL,"1"
"1829","27","1041","1",NULL,"1"
"2063","27","1187","1",NULL,"1"
"2064","25","1187","62",NULL,NULL
"2238","27","1299","1",NULL,"1"
"2239","85","1299","149",NULL,NULL
"2240","85","1299","150",NULL,NULL
"2545","27","1496","1",NULL,"1"
"4283","27","2592","681",NULL,"1"
"5247","27","3145","681",NULL,"1"
"5248","27","3146","681",NULL,"1"
"5821","27","3511","940",NULL,"1"
"5822","27","3511","941",NULL,"1"
"5823","85","3511","475",NULL,NULL
"5827","27","3515","940",NULL,"1"
"5828","27","3515","941",NULL,"1"
"5829","27","3516","940",NULL,"1"
"5830","27","3516","943",NULL,"1"
"5831","27","3517","940",NULL,"1"
"5832","27","3518","940",NULL,"1"
"5833","27","3518","942",NULL,"1"
"5836","27","3521","940",NULL,"1"
"5837","27","3522","940",NULL,"1"
"5838","27","3522","943",NULL,"1"
"5839","27","3523","941",NULL,"1"
"5840","27","3524","1292",NULL,"1"
"5843","27","3526","946",NULL,"1"
"5845","27","3528","947",NULL,"1"
"5846","27","3529","947",NULL,"1"
"5847","27","3530","941",NULL,"1"
"5848","25","3530","948",NULL,NULL
"5849","27","3531","940",NULL,"1"
"5851","27","3533","940",NULL,"1"
"5852","25","3533","949",NULL,NULL
"5854","27","3535","946",NULL,"1"
"5855","25","3535","770",NULL,NULL
"5856","27","3536","951",NULL,"1"
"5857","27","3536","941",NULL,"1"
"5858","27","3537","952",NULL,"1"
"5859","27","3538","940",NULL,"1"
"5860","27","3539","943",NULL,"1"
"5861","27","3540","951",NULL,"1"
"5862","27","3541","940",NULL,"1"
"5863","27","3541","941",NULL,"1"
"5864","27","3542","940",NULL,"1"
"5865","27","3543","940",NULL,"1"
"5866","27","3544","940",NULL,"1"
"5867","27","3545","940",NULL,"1"
"5868","25","3545","953",NULL,NULL
"5870","27","3547","940",NULL,"1"
"5871","27","3547","942",NULL,"1"
"5872","25","3547","953",NULL,NULL
"5873","27","3548","940",NULL,"1"
"5875","27","3550","941",NULL,"1"
"5876","27","3551","940",NULL,"1"
"5877","27","3552","940",NULL,"1"
"5878","27","3553","951",NULL,"1"
"5879","27","3553","941",NULL,"1"
"5880","27","3554","951",NULL,"1"
"5881","27","3554","941",NULL,"1"
"5882","27","3555","942",NULL,"1"
"5883","27","3556","940",NULL,"1"
"5884","27","3557","941",NULL,"1"
"5885","27","3558","940",NULL,"1"
"5886","27","3559","940",NULL,"1"
"5887","27","3560","940",NULL,"1"
"5888","27","3560","942",NULL,"1"
"5889","27","3561","1292",NULL,"1"
"5890","27","3562","1292",NULL,"1"
"5891","27","3563","1292",NULL,"1"
"5892","27","3564","940",NULL,"1"
"5893","27","3564","942",NULL,"1"
"5895","27","3566","943",NULL,"1"
"5896","27","3566","941",NULL,"1"
"5897","27","3567","954",NULL,"1"
"5898","27","3568","1292",NULL,"1"
"5899","27","3569","1292",NULL,"1"
"5900","27","3570","954",NULL,"1"
"5901","27","3571","940",NULL,"1"
"5902","27","3571","942",NULL,"1"
"5903","27","3572","940",NULL,"1"
"5904","27","3572","942",NULL,"1"
"5905","27","3573","1292",NULL,"1"
