"id","volgorde","fk_rubriek_parent","fk_archief","toelichting","publiceren","naam","app_state","datum_gewijzigd","gewijzigd_door"
"1",NULL,"353","1",,"1","Proost &amp; Brandt NV","1","2004-10-04","Karin"
"17",NULL,"987","1","<p>11 februari - 8 april 1984<br /></p>","1","Teksten in Papier, Gemeentemuseum Arnhem 1984","1","2005-09-21","Karin"
"18",NULL,"661","1",,"1","World anthropology","1","2005-02-01","Karin"
"20",NULL,"987","1","<p></p><p>Overwegend op houten panelen geplakte ontwerpen.</p><p></p>","1","Tentoonstellingsmateriaal","1","2005-10-05","Karin"
"67",NULL,"3603","7",,"1","1948-1953 Eppo Doeve","1","2005-11-28","Trudi"
"68",NULL,"3603","7",,"1","1966-1968 Hans Buys e.a.","1","2005-11-28","Trudi"
"69",NULL,"3603","7",,"1","1969-1972 Willem Sandberg, Dick Elffers, Designcentre e.a.","1","2005-11-28","Trudi"
"70",NULL,"3603","7",,"1","1973-1976 Gielijn Escher e.a.","1","2005-11-28","Trudi"
"71",NULL,"3603","7",,"1","1979-1985 Benno Wissing e.a.","1","2005-11-28","Trudi"
"73",NULL,"3603","7",,"1","1986-1989 Studio Dumbar e.a.","1","2005-11-28","Trudi"
"74",NULL,"3603","7",,"1","1990-1991 SDU Ontwerpgroep e.a.","1","2005-11-29","Trudi"
"75",NULL,"3603","7",,"1","1995-1997 Anthon Beeke e.a.","1","2005-11-29","Trudi"
"81",NULL,NULL,"8",NULL,"1","rubriek 01","3",NULL,NULL
"82",NULL,NULL,"8",NULL,"1","rubriek 02","3",NULL,NULL
"83",NULL,NULL,"8",NULL,"1","rubriek 03","3",NULL,NULL
"84",NULL,NULL,"8",NULL,"1","rubriek 04","3",NULL,NULL
"85",NULL,NULL,"8",NULL,"1","rubriek 05","3",NULL,NULL
"86",NULL,NULL,"8",,"1","rubriek 06","3","2011-05-17","Marie Christine"
"87",NULL,NULL,"9",,"1","Diverse opdrachtgevers en klein drukwerk","1","2006-01-27","Karin"
"90",NULL,NULL,"9",,"1","Varossieau lakfabrieken (Histor)","1","2006-01-27","Karin"
"91",NULL,"1384","9",,"1","Etiketten","1","2006-01-31","Karin"
"95",NULL,"301","1",,"1","Persoonlijke stukken","1","2009-09-16","Maja Klooster"
"96",NULL,"179","1",,"1","Documentatie en losse stukken","1","2005-07-27","Karin"
"97",NULL,NULL,"1",,"1","5. Overige activiteiten","1","2005-10-18","Karin"
"98",NULL,NULL,"1",,"1","9. Verzameld materiaal en documentatie","1","2005-10-18","Karin"
"104",NULL,NULL,"10",,"1","Opdrachten","1","2004-10-11","Charlotte"
"106",NULL,"104","10",,"1","Rijksmuseum Kröller Müller","1","2004-09-29","Charlotte"
"112",NULL,NULL,"10",,"1","Verzameld materiaal","1","2004-09-30","Trudi"
"116",NULL,"235","10",,"1","Print Gallery","1","2004-10-11","Charlotte"
"120",NULL,"104","10",,"1","Kasteel Groeneveld","1","2004-09-30","Trudi"
"125",NULL,"235","10",,"1","Publicaties en tentoonstellingen door Brattinga","1","2006-02-06","Suzanne"
"128",NULL,"484","1",,"1","Pieter Baan centrum","1","2004-10-04","Karin"
"129",NULL,"208","1",,"1","Bert Bakker, Bert Bakker-Daamen NV","1","2005-01-07","Karin"
"130",NULL,"353","1",,"1","Polak &amp; Schwarz","1","2004-10-04","Karin"
"131",NULL,"216","1",,"1","Centraal Sociaal Werkgevers Verbond","1","2004-10-04","Karin"
"132",NULL,"216","1","<p>De Stichting Contactcentrum Bedrijfsleven-Onderwijs werd in 1955 opgericht door de vier centrale werkgeversorganisaties om het contact tussen de ondernemer en de scholier te stimuleren.</p>","1","Contactcentrum Bedrijfsleven Onderwijs","1","2005-09-01","Karin"
"135",NULL,"216","1",,"1","De Cirkel en Ahrend","1","2005-09-01","Karin"
"136",NULL,"203","1",,"1","Metaalwarenfabriek Pielkenrood NV","1","2004-10-04","Karin"
"138",NULL,"203","1",,"1","Koninklijke Nederlandsche Hoogovens en staalfabrieken NV","1","2004-10-04","Karin"
"139",NULL,"135","1",,"1","Ahrend NV","1","2004-10-04","Karin"
"140",NULL,"353","1",,"1","Nederlands Verkoopkantoor voor walserijproducten NV","1","2004-11-04","Karin"
"141",NULL,"216","1","<p>Opgericht in 1950 door de Staat der Nederlanden met behulp van de de Marshallmiddelen. In 1953 officieel geopend. In 1965 werden de aandelen overgenomen door de Koninklijke Nederlandse Hoogovens en Staalfabrieken NV.</p>","1","Breedband NV","1","2005-02-03","Karin"
"142",NULL,"353","1",,"1","Philips NV","1","2004-10-04","Karin"
"143",NULL,"216","1",,"1","Erven Lucas Bols","1","2004-10-04","Karin"
"144",NULL,"353","1",,"1","PTT","1","2004-10-04","Karin"
"145",NULL,"144","1",,"1","Rijkspostspaarbank","1","2004-10-04","Karin"
"146",NULL,"216","1",,"1","Agon examengidsen voor eindexaminandi gymnasium hbs mms","1","2005-01-21","Karin"
"147",NULL,"208","1",,"1","Elsevier","1","2004-10-04","Karin"
"148",NULL,"149","1",,"1","Stichting Kunstmaand Amsterdam","1","2004-10-04","Karin"
"149",NULL,"179","1",,"1","Opdrachtgevers culturele sector","1","2005-02-15","Karin"
"150",NULL,"149","1",,"1","Nederlands Letterkundig Museum en Documentatiecentrum","1","2004-10-04","Karin"
"151",NULL,"149","1","<p>Maandblad voor architectuur en gebonden kunsten, opgericht door het Genootschap “Architectura et Amicitia” in samenwerking met de Koninklijke Maatschappij tot Bevordering der Bouwkunst Bond van Nederlandsche Architecten B.N.A. - Orgaan van het genootschap A. et A.</p><p></p>","1","Forum","1","2005-07-18","Karin"
"152",NULL,"353","1",,"1","Nederlandse Overzee Bank NV","1","2004-10-04","Karin"
"153",NULL,"203","1",,"1","Koninklijke Textielfabrieken Nijverdal - Ten Cate nv","1","2004-10-04","Karin"
"154",NULL,"216","1",,"1","De Bijenkorf NV","1","2004-10-04","Karin"
"156",NULL,"354","1",,"1","Rubatex","1","2004-10-04","Karin"
"157",NULL,"149","1",,"1","Toneelgroep Arena","1","2004-10-04","Karin"
"158",NULL,"149","1",,"1","De Nieuwe Komedie","1","2004-10-04","Karin"
"159",NULL,"353","1",,"1","Nederlands Instituut voor Efficiency","1","2004-10-04","Karin"
"160",NULL,"353","1",,"1","Nederlands Congrescentrum","1","2004-10-04","Karin"
"161",NULL,"208","1",,"1","Mouton &amp; Co.","1","2005-09-21","Karin"
"164",NULL,"216","1",,"1","S. de Boer, Den Hartog, Hooft","1","2004-10-05","Karin"
"166",NULL,"149","1",,"1","Nieuw Rotterdams Toneel","1","2004-10-05","Karin"
"167",NULL,"149","1",,"1","De Nederlandse Operastichting","1","2004-10-05","Karin"
"168",NULL,"203","1",,"1","Ministerie van CRM","1","2004-10-05","Karin"
"169",NULL,"354","1",,"1","Railway Passengers Assurance Company, RPA","1","2004-10-05","Karin"
"171",NULL,"216","1",,"1","Amro Bank Amsterdam - Rotterdam Bank NV","1","2004-10-05","Karin"
"172",NULL,"216","1",,"1","Gemeente Amsterdam","1","2004-10-05","Karin"
"173",NULL,"149","1",,"1","Boekmanstichting","1","2004-10-05","Karin"
"174",NULL,"354","1",,"1","Ryam","1","2004-10-05","Karin"
"175",NULL,"149","1",,"1","Galerie 33","1","2004-10-05","Karin"
"176",NULL,"354","1",,"1","Robeco, Rolinco","1","2004-10-05","Karin"
"177",NULL,"484","1",,"1","Nederlandse Spaarbankbond","1","2004-10-05","Karin"
"178",NULL,"353","1",,"1","Polyzathe","1","2004-10-05","Karin"
"179",NULL,NULL,"1",,"1","4. Opdrachten","1","2005-10-18","Karin"
"180",NULL,"987","1","<p></p><p>In 1987 won Jurriaan Schrofer de Buhrmann-Ubbens Papier prijs voor het papieren labyrinth 'Onvolmaakt Geheugen'. Het labyrint werd overeenkomstig het oorspronkelijke plan in De Beyerd in Breda uitgevoerd. Van 17 januari tot 28 februari 1988 was het, samen met een overzichtstentoonstelling van het werk van Jurriaan Schrofer, te zien.<br /></p><p></p>","1","De Beyerd, Breda 1988","1","2005-10-18","Karin"
"182",NULL,"203","1","<p>Ministerie van Economische Zaken, Den Haag</p>","1","Innovatie Centrum","1","2005-01-21","Karin"
"184",NULL,"363","1","<p></p><p>De Nieuwe Kerk Amsterdam 14 juni t/m 23 juli 1989<br /></p><p>Fotografie door Willem Diepraam en ontwerp door Jurriaan Schrofer<br /></p><p></p>","1","De jonge dorpen van Lima (NOVIB) 1989","1","2005-09-21","Karin"
"185",NULL,"149","1",,"1","Joods Historisch Museum","1","2004-10-05","Karin"
"186",NULL,"179","1",,"1","Opdrachtgevers divers","1","2005-10-19","Karin"
"187",NULL,"216","1",,"1","Akademie van Bouwkunst","1","2004-10-05","Karin"
"188",NULL,"216","1",,"1","Algemene Maatschappij voor Jongeren (AMVJ)","1","2004-10-05","Karin"
"189",NULL,"192","1",,"1","De Gruyter","1","2004-10-05","Karin"
"190",NULL,"192","1",,"1","NRC Handelsblad","1","2004-10-05","Karin"
"191",NULL,"192","1",,"1","Botercampagne","1","2005-02-12","Karin"
"192",NULL,NULL,"1",,"1","2. Nationale Publiciteits Onderneming NPO","1","2005-10-18","Karin"
"193",NULL,"192","1",,"1","Staatsmijnen - DSM","1","2005-02-12","Karin"
"194",NULL,"353","1",,"1","Weverij De Ploeg","1","2005-02-12","Karin"
"195",NULL,"149","1",,"1","Rotterdamse Schouwburg","1","2004-10-05","Karin"
"196",NULL,"353","1",,"1","Nederlandse Aardolie Maatschappij NV (NAM)","1","2004-10-05","Karin"
"197",NULL,"203","1",,"1","Lettergieterij en Machinehandel NV (voorheen Tetterode Nederland)","1","2004-10-05","Karin"
"198",NULL,"484","1","<p>1977 - 1979 opdracht Total Design</p>","1","Intomart","1","2005-01-21","Karin"
"199",NULL,"203","1",,"1","Kuiper's Bouwbedrijf BV","1","2004-10-05","Karin"
"200",NULL,"216","1",,"1","Bouwcentrum","1","2004-10-05","Karin"
"201",NULL,"661","1",,"1","Religion and Reason","1","2004-10-13","Karin"
"203",NULL,"614","1",,"1","H t/m M","1","2005-03-11","Karin"
"205",NULL,"149","1",,"1","Stedelijk Museum Amsterdam","1","2004-10-05","Karin"
